Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Splash Lemon & Lime 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.22,0.22,0.00,72.9%,72.4%,0.6%,1.00,0.98,0.02,0.59,0.59,0.00,
"Dash Red Lemonade 100ml","Beverages","Limerick","Minerals & Splits","1",0,0.10,0.10,0.00,87.7%,88.3%,-0.6%,1.00,1.05,-0.05,0.71,0.72,0.00,
"Dash White Lemonade 100ml","Beverages","Limerick","Minerals & Splits","1",0,0.09,0.09,0.00,88.9%,88.6%,0.3%,1.00,0.97,0.03,0.72,0.72,0.00,
"Dash Cordial Orange 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Lime 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Blackcurrant 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Jug of Cordial Blackcurrant 300ml","Beverages","Limerick","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Orange 300ml","Beverages","Limerick","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Lime 300ml","Beverages","Limerick","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"PT Cordial Orange 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Blackcurrant 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Lime 150ml","Beverages","Limerick","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"BT Fanta Orange 500ml","Beverages","Limerick","Minerals & Splits","1",0,0.80,0.80,0.00,67.2%,67.1%,0.1%,3.00,2.99,0.01,1.64,1.64,0.00,
"BT Fanta Lemon 500ml","Beverages","Limerick","Minerals & Splits","1",0,0.86,0.86,0.00,64.7%,64.7%,0.0%,3.00,3.00,0.00,1.58,1.58,0.00,
"Splash Fanta Orange 150ml ","Beverages","Limerick","Minerals & Splits","1",0,0.24,0.24,0.00,70.5%,70.4%,0.1%,1.00,1.00,0.00,0.57,0.57,0.00,
"Splash Fanta Lemon 150ml ","Beverages","Limerick","Minerals & Splits","1",0,0.26,0.26,0.00,68.0%,68.2%,-0.2%,1.00,1.01,-0.01,0.55,0.55,0.00,
"Sqeez Orange Juice 200ml","Beverages","Limerick","Minerals & Splits","1",0,0.30,0.30,0.00,81.6%,81.4%,0.2%,2.00,1.98,0.02,1.33,1.32,0.00,
"Sqeez Apple Juice 200ml","Beverages","Limerick","Minerals & Splits","1",0,0.30,0.30,0.00,81.6%,81.4%,0.2%,2.00,1.98,0.02,1.33,1.32,0.00,
"Can Monster Energy 250ml","Beverages","Limerick","Minerals & Splits","1",0,0.88,0.88,0.00,74.2%,74.3%,-0.1%,4.20,4.21,-0.01,2.53,2.54,0.00,
"BT Diet Coke 500ml","Beverages","Limerick","Minerals & Splits","1",0,0.92,0.92,0.00,62.3%,62.1%,0.2%,3.00,2.98,0.02,1.52,1.51,0.00,
"BT Elderflower Tonic Water 200ml","Beverages","Limerick","Minerals & Splits","1",0,0.56,0.56,0.00,80.3%,80.3%,0.0%,3.50,3.49,0.01,2.29,2.28,0.00,
"L/N Heineken 355ml","Beverages","Limerick","Bottled Beer","1",0,1.35,1.37,0.02,71.4%,71.0%,0.4%,5.80,5.73,0.07,3.37,3.35,0.02,
"L/N Coors Light 330ml","Beverages","Limerick","Bottled Beer","1",0,1.15,1.15,0.00,75.6%,75.6%,0.0%,5.80,5.80,0.00,3.57,3.56,0.00,
"L/N Sol 330ml","Beverages","Limerick","Bottled Beer","1",0,1.26,1.27,0.01,73.3%,73.0%,0.3%,5.80,5.74,0.06,3.46,3.44,0.01,
"L/N Heineken 0.0 330ml","Beverages","Limerick","Bottled Beer","1",0,1.01,1.01,0.00,75.6%,75.7%,-0.1%,5.10,5.11,-0.01,3.14,3.14,0.00,
"PT BTL Orchard Thieves 568ml","Beverages","Limerick","Bottled Beer","1",0,2.33,2.33,0.00,55.9%,55.9%,0.0%,6.50,6.50,0.00,2.95,2.95,0.00,
"L/N Smirnoff Ice 275ml","Beverages","Limerick","Bottled Beer","1",0,1.34,1.30,-0.04,72.1%,73.0%,-0.9%,5.90,6.10,-0.20,3.46,3.50,-0.04,
"L/N WKD Blue 275ml","Beverages","Limerick","Bottled Beer","1",0,1.18,1.20,0.02,75.4%,75.0%,0.4%,5.90,5.81,0.09,3.62,3.60,0.02,
"Can WCC Original 250ml","Beverages","Limerick","Bottled Beer","1",0,1.78,1.63,-0.15,62.9%,66.1%,-3.2%,5.90,6.46,-0.56,3.02,3.17,-0.15,
"Can WCC Rose 250ml","Beverages","Limerick","Bottled Beer","1",0,1.78,1.63,-0.15,62.9%,66.1%,-3.2%,5.90,6.46,-0.56,3.02,3.17,-0.15,
"PT Guinness","Beverages","Limerick","Draught Beer","1",0,2.00,2.02,0.02,54.4%,54.0%,0.4%,5.40,5.35,0.05,2.39,2.37,0.02,
"PT Heineken","Beverages","Limerick","Draught Beer","1",0,2.10,2.11,0.01,56.2%,56.1%,0.1%,5.90,5.88,0.02,2.70,2.69,0.01,
"PT Murphys Red Ale","Beverages","Limerick","Draught Beer","1",0,2.06,2.06,0.00,53.1%,53.1%,0.0%,5.40,5.40,0.00,2.33,2.33,0.00,
"PT Coors Light","Beverages","Limerick","Draught Beer","1",0,2.10,2.11,0.01,56.2%,56.1%,0.1%,5.90,5.88,0.02,2.70,2.69,0.01,
"PT Moretti","Beverages","Limerick","Draught Beer","1",0,2.46,2.46,0.00,56.1%,56.1%,0.0%,6.90,6.89,0.01,3.15,3.15,0.00,
"PT Orchards Thieves","Beverages","Limerick","Draught Beer","1",0,2.19,2.19,0.00,56.6%,56.5%,0.1%,6.20,6.19,0.01,2.85,2.85,0.00,
"GL Guinness","Beverages","Limerick","Draught Beer","1",0,1.00,1.00,0.00,59.0%,59.0%,0.0%,3.00,3.00,0.00,1.44,1.44,0.00,
"GL Heineken","Beverages","Limerick","Draught Beer","1",0,1.05,1.05,0.00,59.6%,59.5%,0.1%,3.20,3.19,0.01,1.55,1.55,0.00,
"GL Coors Light","Beverages","Limerick","Draught Beer","1",0,1.05,1.05,0.00,59.6%,59.5%,0.1%,3.20,3.19,0.01,1.55,1.55,0.00,
"GL Moretti","Beverages","Limerick","Draught Beer","1",0,1.23,1.23,0.00,56.8%,56.7%,0.1%,3.50,3.49,0.01,1.62,1.61,0.00,
"GL Orchard Thieves","Beverages","Limerick","Draught Beer","1",0,1.10,1.10,0.00,61.3%,61.5%,-0.1%,3.50,3.51,-0.01,1.75,1.75,0.00,
"GL Murphys Red Ale","Beverages","Limerick","Draught Beer","1",0,1.03,1.03,0.00,57.8%,57.8%,0.0%,3.00,3.00,0.00,1.41,1.41,0.00,
"GL Murphys Stout","Beverages","Limerick","Draught Beer","1",0,1.00,1.00,0.00,59.0%,58.8%,0.2%,3.00,2.99,0.01,1.44,1.43,0.00,
"GL Beamish Stout","Beverages","Limerick","Draught Beer","1",0,0.84,0.84,0.00,64.4%,64.3%,0.1%,2.90,2.89,0.01,1.52,1.52,0.00,
"PT Beamish Stout","Beverages","Limerick","Draught Beer","1",0,1.68,1.69,0.01,57.8%,57.7%,0.1%,4.90,4.89,0.01,2.30,2.30,0.01,
"PT Murphys Stout","Beverages","Limerick","Draught Beer","1",0,2.01,2.01,0.00,54.2%,54.3%,-0.1%,5.40,5.41,-0.01,2.38,2.38,0.00,
"Copperfield Pinotage South Africa 75cl","Beverages","Limerick","Red Wine Bottle","1",0,6.47,6.48,0.01,74.3%,74.3%,0.0%,31.00,30.97,0.03,18.73,18.73,0.01,
"Montgravet Merlot France 75cl","Beverages","Limerick","Red Wine Bottle","1",0,7.51,7.51,0.00,69.1%,69.1%,0.0%,29.90,29.89,0.01,16.80,16.80,0.00,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Limerick","Red Wine Bottle","1",0,6.80,6.81,0.01,72.0%,72.0%,0.0%,29.90,29.87,0.03,17.51,17.50,0.01,
"Solandia Nero D'avola Italy 75cl","Beverages","Limerick","Red Wine Bottle","1",0,7.06,7.06,0.00,70.1%,70.0%,0.0%,29.00,28.98,0.02,16.52,16.51,0.00,
"Monologo Rioja Crianza Spain 75cl","Beverages","Limerick","Red Wine Bottle","1",0,9.02,9.02,0.00,66.4%,66.4%,0.0%,33.00,33.00,0.00,17.81,17.81,0.00,
"Aires Andinos Malbec Argentina 75cl","Beverages","Limerick","Red Wine Bottle","1",0,7.21,7.21,0.00,73.1%,73.1%,0.0%,33.00,33.00,0.00,19.62,19.62,0.00,
"Montgravet Merlot France 75cl","Beverages","Limerick","Red Wine Glass","2",0,7.51,1.79,-5.72,-15.5%,72.5%,-88.0%,8.00,33.59,-25.59,-1.01,4.72,-5.72,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Limerick","Red Wine Glass","2",0,6.80,1.62,-5.18,-4.6%,75.1%,-79.6%,8.00,33.59,-25.59,-0.30,4.88,-5.18,
"Solandia Nero D'avola Italy 75cl","Beverages","Limerick","Red Wine Glass","2",0,7.06,1.68,-5.38,-15.8%,72.4%,-88.2%,7.50,31.46,-23.96,-0.96,4.41,-5.38,
"Tocornal Chardonnay Chile 75cl","Beverages","Limerick","White Wine Bottle","1",0,6.52,6.52,0.00,72.3%,72.3%,0.0%,29.00,28.99,0.01,17.06,17.06,0.00,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Limerick","White Wine Bottle","1",0,6.40,6.40,0.00,73.7%,73.7%,0.0%,29.90,29.89,0.01,17.91,17.91,0.00,
"Lopez de Haro Rosado Spain 75cl","Beverages","Limerick","White Wine Bottle","1",0,8.62,8.62,0.00,66.9%,66.9%,0.0%,32.00,32.01,-0.01,17.40,17.40,0.00,
"Marlborough Sun Sauvignon Blanc 75cl","Beverages","Limerick","White Wine Bottle","1",0,11.24,11.24,0.00,67.8%,67.9%,0.0%,43.00,43.02,-0.02,23.72,23.72,0.00,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Limerick","White Wine Bottle","1",0,6.82,6.82,0.00,71.9%,71.9%,0.0%,29.90,29.90,0.00,17.49,17.49,0.00,
"Copperfield Chenin Blanc South Africa 75cl","Beverages","Limerick","White Wine Bottle","1",1,0.00,6.31,6.31,100.0%,72.3%,27.7%,28.00,0.00,28.00,22.76,16.46,6.31,
"Pioner Mundi Albarino Spain 75cl","Beverages","Limerick","White Wine Bottle","1",0,9.17,9.18,0.01,64.8%,64.7%,0.1%,32.00,31.95,0.05,16.85,16.83,0.01,
"Tocornal Chardonnay Chile 75cl","Beverages","Limerick","White Wine Glass","2",0,6.52,1.55,-4.97,-6.9%,74.5%,-81.5%,7.50,31.49,-23.99,-0.42,4.54,-4.97,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Limerick","White Wine Glass","2",0,6.40,1.52,-4.88,1.6%,76.6%,-75.0%,8.00,33.58,-25.58,0.10,4.98,-4.88,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Limerick","White Wine Glass","2",0,6.82,1.62,-5.20,-4.9%,75.0%,-79.9%,8.00,33.59,-25.59,-0.32,4.88,-5.20,
"Lanson Black Label Brut France 75cl","Beverages","Limerick","Champagne/Sparkling Bottle","1",0,39.63,39.64,0.01,45.8%,45.8%,0.0%,90.00,89.99,0.01,33.54,33.53,0.01,
"Dogarina Prosecco Italy 75cl","Beverages","Limerick","Champagne/Sparkling Bottle","1",0,8.58,8.59,0.01,67.0%,67.0%,0.0%,32.00,31.98,0.02,17.44,17.43,0.01,
"Segura Viudas Brut Reserva Cava Spain 75cl","Beverages","Limerick","Champagne/Sparkling Bottle","1",0,13.28,13.27,-0.01,59.2%,59.2%,0.0%,40.00,40.02,-0.02,19.24,19.25,-0.01,
"Lanson Rose Label France 75cl","Beverages","Limerick","Champagne/Sparkling Bottle","1",0,50.83,50.83,0.00,43.2%,43.2%,0.0%,110.00,109.99,0.01,38.60,38.60,0.00,
"Torres Natureo Moscatel Spain 75cl","Beverages","Limerick","N/A Wine Bottle","1",0,5.25,5.25,0.00,64.1%,64.1%,0.0%,18.00,17.99,0.01,9.38,9.38,0.00,
"Cosmopolitan","Beverages","Limerick","Cocktails","1",1,2.39,2.68,0.29,73.3%,70.0%,3.3%,11.00,9.80,1.20,6.55,6.26,0.29,
"Huzzar Vodka","Beverages","Limerick","Vodka","1",0,0.87,1.06,0.19,79.4%,75.0%,4.4%,5.20,4.28,0.92,3.36,3.17,0.19,
"Smirnoff Vodka","Beverages","Limerick","Vodka","1",0,0.81,0.80,-0.01,81.9%,82.0%,-0.1%,5.50,5.54,-0.04,3.66,3.67,-0.01,
"Cork Dry Gin","Beverages","Limerick","Gin","1",0,0.87,0.85,-0.02,79.4%,79.9%,-0.5%,5.20,5.32,-0.12,3.36,3.38,-0.02,
"Gordons Original Gin","Beverages","Limerick","Gin","1",0,0.95,0.94,-0.01,78.8%,79.0%,-0.2%,5.50,5.56,-0.06,3.52,3.53,-0.01,
"Gordons Rose Gin","Beverages","Limerick","Gin","1",0,1.03,1.03,0.00,77.0%,77.0%,0.0%,5.50,5.51,-0.01,3.44,3.44,0.00,
"Bacardi","Beverages","Limerick","Rum","1",0,0.91,0.92,0.01,79.3%,79.1%,0.2%,5.40,5.36,0.04,3.48,3.47,0.01,
"Captain Morgan Spiced","Beverages","Limerick","Rum","1",0,0.86,0.88,0.02,80.4%,80.0%,0.4%,5.40,5.29,0.11,3.53,3.51,0.02,
"Jamacian Dark Rum","Beverages","Limerick","Rum","1",0,0.94,0.97,0.03,77.8%,77.0%,0.8%,5.20,5.03,0.17,3.29,3.26,0.03,
"Malibu","Beverages","Limerick","Rum","2",0,0.78,0.80,0.02,81.6%,81.0%,0.6%,5.20,5.05,0.15,3.45,3.42,0.02,
"Jameson","Beverages","Limerick","Whiskey - Irish","1",0,1.18,1.16,-0.02,72.1%,72.5%,-0.4%,5.20,5.28,-0.08,3.05,3.07,-0.02,
"Powers","Beverages","Limerick","Whiskey - Irish","1",0,1.12,1.10,-0.02,73.5%,74.0%,-0.5%,5.20,5.30,-0.10,3.11,3.13,-0.02,
"Bushmills Original","Beverages","Limerick","Whiskey - Irish","1",0,1.03,1.07,0.04,77.0%,76.0%,1.0%,5.50,5.28,0.22,3.44,3.40,0.04,
"Paddys","Beverages","Limerick","Whiskey - Irish","1",0,1.03,1.06,0.03,75.6%,75.0%,0.6%,5.20,5.07,0.13,3.20,3.17,0.03,
"Bushmills Black Bush","Beverages","Limerick","Whiskey - Irish","1",0,1.26,1.27,0.01,74.2%,74.0%,0.2%,6.00,5.96,0.04,3.62,3.61,0.01,
"Black & White","Beverages","Limerick","Whisky - Scotch","1",0,1.00,0.98,-0.02,76.3%,76.9%,-0.6%,5.20,5.32,-0.12,3.23,3.25,-0.02,
"Jack Daniels","Beverages","Limerick","Whiskey - American","1",0,1.32,1.32,0.00,71.0%,71.0%,0.0%,5.60,5.60,0.00,3.23,3.23,0.00,
"Southern Comfort","Beverages","Limerick","Whiskey - American","1",0,1.09,1.10,0.01,73.2%,73.0%,0.2%,5.00,4.97,0.03,2.98,2.97,0.01,
"Jagermeister","Beverages","Limerick","Liqueurs","1",0,1.00,1.02,0.02,78.4%,78.0%,0.4%,5.70,5.59,0.11,3.63,3.61,0.02,
"Sambuca","Beverages","Limerick","Liqueurs","1",0,1.02,1.06,0.04,75.9%,75.0%,0.9%,5.20,5.02,0.18,3.21,3.17,0.04,
"Baileys Irish Cream","Beverages","Limerick","Liqueurs","1",0,0.75,0.93,0.18,83.8%,80.0%,3.8%,5.70,4.61,1.09,3.88,3.71,0.18,
"Tia Maria","Beverages","Limerick","Liqueurs","1",0,0.85,0.85,0.00,79.1%,79.0%,0.1%,5.00,4.98,0.02,3.22,3.21,0.00,
"Hennessy","Beverages","Limerick","Brandy","1",0,1.61,1.61,0.00,65.9%,65.8%,0.1%,5.80,5.79,0.01,3.11,3.10,0.00,
"Tequila","Beverages","Limerick","Shots","1",0,1.10,1.10,0.00,77.4%,77.4%,0.0%,6.00,5.99,0.01,3.78,3.78,0.00,
"Baby Guinness","Beverages","Limerick","Shots","1",0,1.17,1.16,-0.01,76.0%,76.2%,-0.2%,6.00,6.05,-0.05,3.71,3.72,-0.01,
"Tea Cup","Beverages","Limerick","Hot Beverages","1",0,0.19,0.20,0.01,89.8%,89.3%,0.5%,2.30,2.18,0.12,1.68,1.67,0.01,
"Americano Coffee","Beverages","Limerick","Hot Beverages","1",0,0.31,0.31,0.00,88.1%,88.2%,-0.1%,3.20,3.22,-0.02,2.29,2.29,0.00,
"Latte Coffee","Beverages","Limerick","Hot Beverages","1",0,0.48,0.49,0.01,84.0%,83.6%,0.5%,3.70,3.59,0.11,2.53,2.51,0.01,
"Cappuccino Coffee","Beverages","Limerick","Hot Beverages","1",0,0.52,0.54,0.02,82.7%,82.2%,0.5%,3.70,3.59,0.11,2.49,2.47,0.02,
"Espresso Coffee","Beverages","Limerick","Hot Beverages","1",0,0.40,0.40,0.00,81.1%,80.9%,0.1%,2.60,2.58,0.02,1.71,1.71,0.00,
"Tea Pot","Beverages","Limerick","Hot Beverages","1",0,0.39,0.41,0.02,79.1%,78.0%,1.2%,2.30,2.18,0.12,1.48,1.46,0.02,
"Americano Coffee - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.49,0.49,0.00,78.5%,78.4%,0.0%,2.80,2.80,0.00,1.79,1.79,0.00,
"Cappuccino Coffee - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.70,0.72,0.02,70.3%,69.5%,0.8%,2.90,2.82,0.08,1.66,1.64,0.02,
"Espresso Coffee - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.59,0.59,0.00,72.1%,72.3%,-0.2%,2.60,2.62,-0.02,1.52,1.53,0.00,
"Latte Coffee - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.66,0.68,0.02,72.0%,71.3%,0.7%,2.90,2.83,0.07,1.70,1.68,0.02,
"Tea - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.37,0.38,0.01,80.2%,79.6%,0.6%,2.30,2.23,0.07,1.50,1.49,0.01,
"Hot Chocolate","Beverages","Limerick","Hot Beverages","1",0,0.56,0.57,0.01,75.4%,74.8%,0.6%,2.80,2.73,0.07,1.72,1.70,0.01,
"Hot Chocolate - Takeaway","Beverages","Limerick","Hot Beverages","1",0,0.74,0.76,0.02,67.5%,66.8%,0.7%,2.80,2.74,0.06,1.54,1.52,0.02,
"Hot Irish Whiskey","Beverages","Limerick","Liqueurs Coffee","1",0,1.49,1.47,-0.02,66.7%,67.1%,-0.4%,5.50,5.57,-0.07,2.98,3.00,-0.02,
"Irish Coffee","Beverages","Limerick","Liqueurs Coffee","1",0,1.67,1.65,-0.02,68.4%,68.7%,-0.3%,6.50,6.56,-0.06,3.61,3.63,-0.02,
"Baileys Coffee","Beverages","Limerick","Liqueurs Coffee","1",0,1.15,1.13,-0.02,78.2%,78.7%,-0.5%,6.50,6.64,-0.14,4.13,4.16,-0.02,
"French Coffee","Beverages","Limerick","Liqueurs Coffee","1",0,1.99,2.00,0.01,62.3%,62.2%,0.1%,6.50,6.48,0.02,3.29,3.29,0.01,
"Hot Port","Beverages","Limerick","Liqueurs Coffee","1",0,0.95,0.91,-0.04,78.8%,79.6%,-0.8%,5.50,5.73,-0.23,3.52,3.56,-0.04,
"PT Guinness","Beverages","Galway","Draught Beer","1",0,2.00,2.01,0.01,55.3%,55.0%,0.3%,5.50,5.47,0.03,2.47,2.46,0.01,
"PT Heineken","Beverages","Galway","Draught Beer","1",0,2.10,2.11,0.01,57.0%,56.8%,0.2%,6.00,5.98,0.02,2.78,2.77,0.01,
"PT Murphys Red Ale","Beverages","Galway","Draught Beer","1",0,2.06,2.06,0.00,53.9%,53.9%,0.0%,5.50,5.50,0.00,2.41,2.41,0.00,
"PT Coors Light","Beverages","Galway","Draught Beer","1",0,2.10,2.11,0.01,57.0%,56.8%,0.2%,6.00,5.98,0.02,2.78,2.77,0.01,
"PT Moretti","Beverages","Galway","Draught Beer","1",0,2.46,2.46,0.00,54.8%,54.8%,0.0%,6.70,6.69,0.01,2.99,2.99,0.00,
"PT Orchards Thieves","Beverages","Galway","Draught Beer","1",0,2.19,2.20,0.01,55.1%,55.0%,0.1%,6.00,5.99,0.01,2.69,2.68,0.01,
"L/N Heineken 355ml","Beverages","Galway","Bottled Beer","1",0,1.35,1.36,0.01,72.3%,72.2%,0.1%,6.00,5.97,0.03,3.53,3.52,0.01,
"L/N Coors Light 330ml","Beverages","Galway","Bottled Beer","1",0,1.15,1.15,0.00,76.4%,76.4%,0.0%,6.00,5.99,0.01,3.73,3.73,0.00,
"L/N Sol 330ml","Beverages","Galway","Bottled Beer","1",0,1.26,1.26,0.00,74.2%,74.1%,0.1%,6.00,5.98,0.02,3.62,3.61,0.00,
"L/N Birra Moretti 330ml","Beverages","Galway","Bottled Beer","1",0,1.54,1.54,0.00,68.4%,68.4%,0.0%,6.00,5.99,0.01,3.34,3.34,0.00,
"L/N Desperados 330ml","Beverages","Galway","Bottled Beer","1",0,1.67,1.67,0.00,65.8%,65.8%,0.0%,6.00,6.01,-0.01,3.21,3.21,0.00,
"L/N Smirnoff Ice 275ml","Beverages","Galway","Bottled Beer","1",0,1.34,1.29,-0.05,73.8%,74.8%,-1.0%,6.30,6.54,-0.24,3.78,3.83,-0.05,
"L/N WKD Blue 275ml","Beverages","Galway","Bottled Beer","1",0,1.18,1.18,0.00,77.0%,76.9%,0.1%,6.30,6.28,0.02,3.94,3.94,0.00,
"Can WCC Original 250ml","Beverages","Galway","Bottled Beer","1",0,1.78,1.62,-0.16,65.2%,68.3%,-3.1%,6.30,6.91,-0.61,3.34,3.50,-0.16,
"Can WCC Rose 250ml","Beverages","Galway","Bottled Beer","1",0,1.78,1.62,-0.16,65.2%,68.3%,-3.1%,6.30,6.91,-0.61,3.34,3.50,-0.16,
"L/N Heineken 0.0 330ml","Beverages","Galway","Bottled Beer","1",0,1.01,1.01,0.00,77.4%,77.4%,0.0%,5.50,5.50,0.00,3.46,3.46,0.00,
"Copperfield Pinotage South Africa 75cl","Beverages","Galway","Red Wine Bottle","1",0,6.47,6.48,0.01,74.3%,74.3%,0.0%,31.00,30.97,0.03,18.73,18.73,0.01,
"Montgravet Merlot France 75cl","Beverages","Galway","Red Wine Bottle","1",0,7.51,7.51,0.00,69.1%,69.1%,0.0%,29.90,29.89,0.01,16.80,16.80,0.00,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Galway","Red Wine Bottle","1",0,6.80,6.81,0.01,72.0%,72.0%,0.0%,29.90,29.87,0.03,17.51,17.50,0.01,
"Solandia Nero D'avola Italy 75cl","Beverages","Galway","Red Wine Bottle","1",0,7.06,7.06,0.00,70.1%,70.0%,0.0%,29.00,28.98,0.02,16.52,16.51,0.00,
"Monologo Rioja Crianza Spain 75cl","Beverages","Galway","Red Wine Bottle","1",0,9.02,9.02,0.00,66.4%,66.4%,0.0%,33.00,33.00,0.00,17.81,17.81,0.00,
"Aires Andinos Malbec Argentina 75cl","Beverages","Galway","Red Wine Bottle","1",0,7.21,7.21,0.00,73.1%,73.1%,0.0%,33.00,33.00,0.00,19.62,19.62,0.00,
"Montgravet Merlot France 75cl","Beverages","Galway","Red Wine Glass","2",0,7.51,1.79,-5.72,-15.5%,72.5%,-88.0%,8.00,33.59,-25.59,-1.01,4.72,-5.72,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Galway","Red Wine Glass","2",0,6.80,1.62,-5.18,-4.6%,75.1%,-79.6%,8.00,33.59,-25.59,-0.30,4.88,-5.18,
"Solandia Nero D'avola Italy 75cl","Beverages","Galway","Red Wine Glass","2",0,7.06,1.68,-5.38,-15.8%,72.4%,-88.2%,7.50,31.46,-23.96,-0.96,4.41,-5.38,
"Tocornal Chardonnay Chile 75cl","Beverages","Galway","White Wine Bottle","1",0,6.52,6.52,0.00,72.3%,72.3%,0.0%,29.00,28.99,0.01,17.06,17.06,0.00,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Galway","White Wine Bottle","1",0,6.40,6.40,0.00,73.7%,73.7%,0.0%,29.90,29.89,0.01,17.91,17.91,0.00,
"Lopez de Haro Rosado Spain 75cl","Beverages","Galway","White Wine Bottle","1",0,8.62,8.62,0.00,66.9%,66.9%,0.0%,32.00,32.01,-0.01,17.40,17.40,0.00,
"Marlborough Sun Sauvignon Blanc 75cl","Beverages","Galway","White Wine Bottle","1",0,11.24,11.24,0.00,67.8%,67.9%,0.0%,43.00,43.02,-0.02,23.72,23.72,0.00,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Galway","White Wine Bottle","1",0,6.82,6.82,0.00,71.9%,71.9%,0.0%,29.90,29.90,0.00,17.49,17.49,0.00,
"Tocornal Chardonnay Chile 75cl","Beverages","Galway","White Wine Glass","2",0,6.52,1.55,-4.97,-6.9%,74.5%,-81.5%,7.50,31.49,-23.99,-0.42,4.54,-4.97,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Galway","White Wine Glass","2",0,6.40,1.52,-4.88,1.6%,76.6%,-75.0%,8.00,33.58,-25.58,0.10,4.98,-4.88,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Galway","White Wine Glass","2",0,6.82,1.62,-5.20,-4.9%,75.0%,-79.9%,8.00,33.59,-25.59,-0.32,4.88,-5.20,
"Lanson Black Label Brut France 75cl","Beverages","Galway","Champagne/Sparkling Bottle","1",0,39.63,39.64,0.01,45.8%,45.8%,0.0%,90.00,89.99,0.01,33.54,33.53,0.01,
"Dogarina Prosecco Italy 75cl","Beverages","Galway","Champagne/Sparkling Bottle","1",0,8.58,8.59,0.01,67.0%,67.0%,0.0%,32.00,31.98,0.02,17.44,17.43,0.01,
"Segura Viudas Brut Reserva Cava Spain 75cl","Beverages","Galway","Champagne/Sparkling Bottle","1",0,13.28,13.27,-0.01,59.2%,59.2%,0.0%,40.00,40.02,-0.02,19.24,19.25,-0.01,
"Lanson Rose Label France 75cl","Beverages","Galway","Champagne/Sparkling Bottle","1",0,50.83,50.83,0.00,43.2%,43.2%,0.0%,110.00,109.99,0.01,38.60,38.60,0.00,
"Torres Natureo Moscatel Spain 75cl","Beverages","Galway","N/A Wine Bottle","1",0,5.25,5.25,0.00,64.1%,64.1%,0.0%,18.00,17.99,0.01,9.38,9.38,0.00,
"Espresso Martini","Beverages","Galway","Cocktails","1",0,2.51,2.51,0.00,69.1%,69.1%,0.0%,10.00,9.99,0.01,5.62,5.62,0.00,
